2026-04-11 05:39:57,919 | atomos.boot          | INFO     | ============================================================
2026-04-11 05:39:57,919 | atomos.boot          | INFO     | ATOM OS v15 — BOOT SEQUENCE
2026-04-11 05:39:57,919 | atomos.boot          | INFO     | ============================================================
2026-04-11 05:39:57,919 | atomos.boot          | INFO     | 
[PHASE 0] Loading configuration...
2026-04-11 05:39:57,919 | atomos.boot          | INFO     |   Config loaded: []
2026-04-11 05:39:57,919 | atomos.boot          | INFO     | 
[PHASE 1] Module discovery & registration...
2026-04-11 05:40:13,144 | atomos.boot          | INFO     | ============================================================
2026-04-11 05:40:13,144 | atomos.boot          | INFO     | ATOM OS v15 — BOOT SEQUENCE
2026-04-11 05:40:13,144 | atomos.boot          | INFO     | ============================================================
2026-04-11 05:40:13,144 | atomos.boot          | INFO     | 
[PHASE 0] Loading configuration...
2026-04-11 05:40:13,144 | atomos.boot          | INFO     |   Config loaded: []
2026-04-11 05:40:13,144 | atomos.boot          | INFO     | 
[PHASE 1] Module discovery & registration...
2026-04-11 05:41:58,733 | atomos.boot          | INFO     | ============================================================
2026-04-11 05:41:58,733 | atomos.boot          | INFO     | ATOM OS v15 — BOOT SEQUENCE
2026-04-11 05:41:58,733 | atomos.boot          | INFO     | ============================================================
2026-04-11 05:41:58,733 | atomos.boot          | INFO     | 
[PHASE 0] Loading configuration...
2026-04-11 05:41:58,733 | atomos.boot          | INFO     |   Config loaded: []
2026-04-11 05:41:58,733 | atomos.boot          | INFO     | 
[PHASE 1] Module discovery & registration...
2026-04-11 05:41:58,788 | atomos.boot          | INFO     |   Auto-registering: aic_os (agent)
2026-04-11 05:41:58,788 | atomos.boot          | INFO     |   Auto-registering: apex_execution_kernel (agent)
2026-04-11 05:41:58,788 | atomos.boot          | INFO     |   Auto-registering: apex_runtime (agent)
2026-04-11 05:41:58,788 | atomos.boot          | INFO     |   Auto-registering: audit_ledger (audit)
2026-04-11 05:41:58,788 | atomos.boot          | INFO     |   Auto-registering: capability_system (agent)
2026-04-11 05:41:58,788 | atomos.boot          | INFO     |   Auto-registering: civ_to_reality (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: civilization_council (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: civilization_evolution (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: civilization_memory (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: control_plane (control)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: control_plane_evolver (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: corp_budget_controller (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: corp_governance_board (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: corp_org_registry (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: corp_roi_tracker (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: corp_role_allocator (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: cross_economy_trade (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: distributed_memory (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: economic_memory (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: economy_coordinator (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: episodic_memory (memory)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: execution_proof_engine (audit)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: execution_sandbox (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: global_coordinator (agent)
2026-04-11 05:41:58,789 | atomos.boot          | INFO     |   Auto-registering: global_episodic_memory (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: global_impact_memory (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: global_resource_market (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: gpu_control (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: immutable_audit_graph (audit)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: infra_abstraction (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: langgraph_core (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: memory_hierarchy (memory)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: meta_control_loop (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: meta_decision_engine (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: meta_policy_kernel (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: meta_proof_engine (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: mission_broker (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: mission_controller (mission)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: mission_generator (mission)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: mission_prioritizer (mission)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: orchestrator (agent)
2026-04-11 05:41:58,790 | atomos.boot          | INFO     |   Auto-registering: policy_consensus (agent)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: policy_engine (agent)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: policy_kernel (agent)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: policy_kernel_v2 (policy)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: policy_kernel_v3 (policy)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: policy_kernel_v4 (policy)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: proof_engine (audit)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: reality_action_engine (agent)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: reality_control_council (agent)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: replay_engine (audit)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: resource_ledger (agent)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: safety_gate (devops)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: secure_execution_engine (agent)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: semantic_firewall (agent)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: state_machine (agent)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: swarm (swarm)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: system_mapper (agent)
2026-04-11 05:41:58,791 | atomos.boot          | INFO     |   Auto-registering: taar_os (agent)
